"Function","Effective Time","Spin Time","Overhead Time","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"org::start::MatrixMultiplication$M::multiplyMatrices","2.36109","0","0","2.36109","[Compiled Java code]","org::start::MatrixMultiplication$M::multiplyMatrices(float[][], float[][], int)","MatrixMultiplication.java","0x1a4800cc0e0"
"JNI_CreateJavaVM","0.618626","0","0","0.333734","jvm.dll","JNI_CreateJavaVM","[Unknown]","0x1803d6030"
"Interpreter","3.62584","0","0","0.287844","[Dynamic code]","Interpreter","[Unknown]","0x1a487538e80"
"NtWaitForAlertByThreadId","0.16481","0","0","0.16481","ntdll.dll","NtWaitForAlertByThreadId","[Unknown]","0x1800a2f50"
"func@0x18036ed90","0.142206","0","0","0.142206","jvm.dll","func@0x18036ed90","[Unknown]","0x18036ed90"
"jdk::internal::math::FloatingDecimal$ASCIIToBinaryBuffer::floatValue","0.256579","0","0","0.136941","[Compiled Java code]","jdk::internal::math::FloatingDecimal$ASCIIToBinaryBuffer::floatValue()","FloatingDecimal.java","0x1a480030600"
"jdk::internal::math::FloatingDecimal::readJavaFormatString","0.127022","0","0","0.127022","[Compiled Java code]","jdk::internal::math::FloatingDecimal::readJavaFormatString(java::lang::String)","FloatingDecimal.java","0x1a480023800"
"java::util::regex::Pattern::split","0.173053","0","0","0.114331","[Compiled Java code]","java::util::regex::Pattern::split(java::lang::CharSequence, int)","Pattern.java","0x1a480064ea0"
"NtWaitForSingleObject","0","0.0905942","0","0.0905942","ntdll.dll","NtWaitForSingleObject","[Unknown]","0x18009f3e0"
"jdk::internal::math::FDBigInteger::leftShift","0.0891771","0","0","0.0891771","[Compiled Java code]","jdk::internal::math::FDBigInteger::leftShift(int)","FDBigInteger.java","0x1a48001ff00"
"jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::dtoa","0.0738017","0","0","0.0738017","[Compiled Java code]","jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::dtoa(int, long, int, boolean)","FloatingDecimal.java","0x1a4800d30a0"
"org::start::MatrixMultiplication$M::writeMatrix","0.135463","0","0","0.0612171","[Compiled Java code]","org::start::MatrixMultiplication$M::writeMatrix(float[][], java::lang::String)","MatrixMultiplication.java","0x1a4800e3180"
"LoadLibraryA","0.0441147","0","0","0.0441147","KERNELBASE.dll","LoadLibraryA","[Unknown]","0x1800840b0"
"java::lang::StringLatin1::inflate","0.0305436","0","0","0.0305436","[Compiled Java code]","java::lang::StringLatin1::inflate(byte[], int, char[], int, int)","StringLatin1.java","0x1a480040dc0"
"func@0x180370da0","0.0281305","0","0","0.0281305","jvm.dll","func@0x180370da0","[Unknown]","0x180370da0"
"java::lang::String::subSequence","0.0417035","0","0","0.0280562","[Compiled Java code]","java::lang::String::subSequence(int, int)","String.java","0x1a48001dfa0"
"func@0x180356320","0.0259007","0","0","0.0259007","jvm.dll","func@0x180356320","[Unknown]","0x180356320"
"func@0x18067537f","0.0359221","0","0","0.0208596","jvm.dll","func@0x18067537f","[Unknown]","0x18067537f"
"func@0x1806530c0","0.0160926","0","0","0.0160926","jvm.dll","func@0x1806530c0","[Unknown]","0x1806530c0"
"java::io::BufferedReader::readLine","0.0876938","0","0","0.0158101","[Compiled Java code]","java::io::BufferedReader::readLine(boolean, boolean[])","BufferedReader.java","0x1a4800415c0"
"java::util::Arrays::copyOf","0.0158059","0","0","0.0158059","[Compiled Java code]","java::util::Arrays::copyOf(java::lang::Object[], int, java::lang::Class)","Arrays.java","0x1a48004a460"
"func@0x18006891e","0.01579","0","0","0.01579","KERNELBASE.dll","func@0x18006891e","[Unknown]","0x18006891e"
"func@0x1800ac590","0.0157882","0","0","0.0157882","jvm.dll","func@0x1800ac590","[Unknown]","0x1800ac590"
"func@0x1801b44c0","0.0156669","0","0","0.0156669","jvm.dll","func@0x1801b44c0","[Unknown]","0x1801b44c0"
"jdk::internal::math::FDBigInteger::rightInplaceSub","0.0155121","0","0","0.0155121","[Compiled Java code]","jdk::internal::math::FDBigInteger::rightInplaceSub(jdk::internal::math::FDBigInteger)","FDBigInteger.java","0x1a4800343a0"
"jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::getChars","0.0152089","0","0","0.0152089","[Compiled Java code]","jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::getChars(char[])","FloatingDecimal.java","0x1a4800de9a0"
"func@0x18031c620","0.0151382","0","0","0.0151382","jvm.dll","func@0x18031c620","[Unknown]","0x18031c620"
"func@0x1806741a0","0.0150625","0","0","0.0150625","jvm.dll","func@0x1806741a0","[Unknown]","0x1806741a0"
"jdk::internal::math::FDBigInteger::valueOfMulPow52","0.0149484","0","0","0.0149484","[Compiled Java code]","jdk::internal::math::FDBigInteger::valueOfMulPow52(long, int, int)","FDBigInteger.java","0x1a480038fa0"
"func@0x18029e5d0","0.014941","0.0131569","0","0.014941","jvm.dll","func@0x18029e5d0","[Unknown]","0x18029e5d0"
"java::lang::StringBuilder::append","0.0149095","0","0","0.0149095","[Compiled Java code]","java::lang::StringBuilder::append(char[], int, int)","StringBuilder.java","0x1a4800897a0"
"java::util::regex::Matcher::find","0.0148602","0","0","0.0148602","[Compiled Java code]","java::util::regex::Matcher::find()","Matcher.java","0x1a48001a4c0"
"java::lang::StringLatin1::newString","0.0136473","0","0","0.0136473","[Compiled Java code]","java::lang::StringLatin1::newString(byte[], int, int)","StringLatin1.java","0x1a4800198e0"
"func@0x1807c6fe0","0.0130203","0","0","0.0130203","jvm.dll","func@0x1807c6fe0","[Unknown]","0x1807c6fe0"
"func@0x1801b3d20","0.0249309","0","0","0.0130019","jvm.dll","func@0x1801b3d20","[Unknown]","0x1801b3d20"
"memset","0.0129433","0","0","0.0129433","VCRUNTIME140.dll","memset","[Unknown]","0x1800016b0"
"java::lang::StringCoding::hasNegatives","0.0128782","0","0","0.0128782","[Compiled Java code]","java::lang::StringCoding::hasNegatives(byte[], int, int)","StringCoding.java","0x1a4800407c0"
"func@0x1803565f0","0.0125125","0","0","0.0125125","jvm.dll","func@0x1803565f0","[Unknown]","0x1803565f0"
"func@0x18006bb70","0.011929","0","0","0.011929","jvm.dll","func@0x18006bb70","[Unknown]","0x18006bb70"
"func@0x180035058","0.0118958","0","0","0.0118958","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180035058","[Unknown]","0x180035058"
"func@0x18056f070","0.0113785","0","0","0.0113785","jvm.dll","func@0x18056f070","[Unknown]","0x18056f070"
"NtSetEvent","0.0113053","0","0","0.0113053","ntdll.dll","NtSetEvent","[Unknown]","0x18009f520"
"func@0x18055bd80","0.0111941","0","0","0.0111941","jvm.dll","func@0x18055bd80","[Unknown]","0x18055bd80"
"func@0x180650bf0","0.010864","0","0","0.010864","jvm.dll","func@0x180650bf0","[Unknown]","0x180650bf0"
"func@0x1807c5160","0.00922554","0","0","0.00922554","jvm.dll","func@0x1807c5160","[Unknown]","0x1807c5160"
"func@0x180172270","0.00451285","0","0","0.00451285","jvm.dll","func@0x180172270","[Unknown]","0x180172270"
"func@0x1803cf6e0","0.00439371","1.33346e-05","0","0.00440704","jvm.dll","func@0x1803cf6e0","[Unknown]","0x1803cf6e0"
"func@0x1801ee990","0.00403571","0","0","0.00403571","jvm.dll","func@0x1801ee990","[Unknown]","0x1801ee990"
"RtlLeaveCriticalSection","0","0.00317559","0","0.00317559","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x180026ab0"
"func@0x180159660","0.00295426","0.00409722","0","0.00295426","jvm.dll","func@0x180159660","[Unknown]","0x180159660"
"WaitForSingleObjectEx","0","0.0928994","0","0.0023052","KERNELBASE.dll","WaitForSingleObjectEx","[Unknown]","0x1800348f0"
"flush_icache_stub","0.00164668","0","0","0.00164668","[Dynamic code]","flush_icache_stub","[Unknown]","0x1a487530080"
"RtlSleepConditionVariableCS","0.164858","0","0","4.7652e-05","ntdll.dll","RtlSleepConditionVariableCS","[Unknown]","0x180068c30"
"func@0x1800627c8","0.01579","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800627c8","[Unknown]","0x1800627c8"
"func@0x18007237c","0.01579","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x18007237c","[Unknown]","0x18007237c"
"func@0x180001d80","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180001d80","[Unknown]","0x180001d80"
"func@0x1800479a0","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800479a0","[Unknown]","0x1800479a0"
"func@0x1800309f4","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800309f4","[Unknown]","0x1800309f4"
"func@0x180037294","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180037294","[Unknown]","0x180037294"
"func@0x180039298","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180039298","[Unknown]","0x180039298"
"func@0x18003d858","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x18003d858","[Unknown]","0x18003d858"
"func@0x180042590","0.0118958","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180042590","[Unknown]","0x180042590"
"java::lang::String::substring","0.0136473","0","0","0","[Compiled Java code]","java::lang::String::substring(int, int)","String.java","0x1a48001be80"
"org::start::MatrixMultiplication$M::readMatrixFromFile","0.577872","0","0","0","[Compiled Java code]","org::start::MatrixMultiplication$M::readMatrixFromFile(java::lang::String, int)","MatrixMultiplication.java","0x1a480069de0"
"BaseThreadInitThunk","4.39906","0.0960883","0","0","KERNEL32.DLL","BaseThreadInitThunk","[Unknown]","0x180012560"
"java::util::ArrayList::grow","0.0158059","0","0","0","[Compiled Java code]","java::util::ArrayList::grow(int)","ArrayList.java","0x1a480057ee0"
"java::lang::String::split","0.114331","0","0","0","[Compiled Java code]","java::lang::String::split(java::lang::String)","String.java","0x1a48009eea0"
"java::lang::String::split","0.114331","0","0","0","[Compiled Java code]","java::lang::String::split(java::lang::String, int)","String.java","0x1a48009f640"
"java::io::BufferedReader::readLine","0.0741414","0","0","0","[Compiled Java code]","java::io::BufferedReader::readLine()","BufferedReader.java","0x1a48009eac0"
"java::io::BufferedReader::fill","0.0434218","0","0","0","[Compiled Java code]","java::io::BufferedReader::fill()","BufferedReader.java","0x1a480088b00"
"java::io::InputStreamReader::read","0.0434218","0","0","0","[Compiled Java code]","java::io::InputStreamReader::read(char[], int, int)","InputStreamReader.java","0x1a480086840"
"sun::nio::cs::StreamDecoder::read","0.0434218","0","0","0","[Compiled Java code]","sun::nio::cs::StreamDecoder::read(char[], int, int)","StreamDecoder.java","0x1a480086d80"
"sun::nio::cs::StreamDecoder::implRead","0.0434218","0","0","0","[Compiled Java code]","sun::nio::cs::StreamDecoder::implRead(char[], int, int)","StreamDecoder.java","0x1a48008fa40"
"java::nio::charset::CharsetDecoder::decode","0.0434218","0","0","0","[Compiled Java code]","java::nio::charset::CharsetDecoder::decode(java::nio::ByteBuffer, java::nio::CharBuffer, boolean)","CharsetDecoder.java","0x1a4800621c0"
"sun::nio::cs::UTF_8$Decoder::decodeLoop","0.0434218","0","0","0","[Compiled Java code]","sun::nio::cs::UTF_8$Decoder::decodeLoop(java::nio::ByteBuffer, java::nio::CharBuffer)","UTF_8.java","0x1a480077de0"
"sun::nio::cs::UTF_8$Decoder::decodeArrayLoop","0.0434218","0","0","0","[Compiled Java code]","sun::nio::cs::UTF_8$Decoder::decodeArrayLoop(java::nio::ByteBuffer, java::nio::CharBuffer)","UTF_8.java","0x1a480078dc0"
"java::lang::System$2::decodeASCII","0.0434218","0","0","0","[Compiled Java code]","java::lang::System$2::decodeASCII(byte[], int, char[], int, int)","System.java","0x1a480076da0"
"java::lang::String::decodeASCII","0.0434218","0","0","0","[Compiled Java code]","java::lang::String::decodeASCII(byte[], int, char[], int, int)","String.java","0x1a4800771e0"
"java::lang::String::valueOf","0.0304269","0","0","0","[Compiled Java code]","java::lang::String::valueOf(float)","String.java","0x1a4800d9d40"
"jdk::internal::math::FloatingDecimal::getBinaryToASCIIConverter","0.0432832","0","0","0","[Compiled Java code]","jdk::internal::math::FloatingDecimal::getBinaryToASCIIConverter(float)","FloatingDecimal.java","0x1a4800dd720"
"func@0x18064b7d0","0.434832","0.0937698","0","0","jvm.dll","func@0x18064b7d0","[Unknown]","0x18064b7d0"
"func@0x1807b38a0","0.434832","0.0937698","0","0","jvm.dll","func@0x1807b38a0","[Unknown]","0x1807b38a0"
"func@0x1807b937f","0.432548","0.0925357","0","0","jvm.dll","func@0x1807b937f","[Unknown]","0x1807b937f"
"func@0x180217a40","0.432548","0.0925357","0","0","jvm.dll","func@0x180217a40","[Unknown]","0x180217a40"
"func@0x1802193c0","0.269974","0.0925357","0","0","jvm.dll","func@0x1802193c0","[Unknown]","0x1802193c0"
"func@0x18019a6a0","0.26086","0.0600177","0","0","jvm.dll","func@0x18019a6a0","[Unknown]","0x18019a6a0"
"func@0x180209830","0.26086","0.0600177","0","0","jvm.dll","func@0x180209830","[Unknown]","0x180209830"
"func@0x18020ae00","0.185759","0.0323408","0","0","jvm.dll","func@0x18020ae00","[Unknown]","0x18020ae00"
"func@0x1801b1340","0.090433","0.0135873","0","0","jvm.dll","func@0x1801b1340","[Unknown]","0x1801b1340"
"func@0x1801b1da0","0.0238825","0","0","0","jvm.dll","func@0x1801b1da0","[Unknown]","0x1801b1da0"
