"Function","Effective Time","Spin Time","Overhead Time","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"org::start::MatrixMultiplication$M::multiplyMatrices","2.30839","0","0","2.30839","[Compiled Java code]","org::start::MatrixMultiplication$M::multiplyMatrices(float[][], float[][], int)","MatrixMultiplication.java","0x1303d6b4060"
"JNI_CreateJavaVM","0.677265","0.136739","0","0.388368","jvm.dll","JNI_CreateJavaVM","[Unknown]","0x1803d6030"
"Interpreter","3.39962","0.0149529","0","0.316891","[Dynamic code]","Interpreter","[Unknown]","0x13044b28e80"
"NtWaitForAlertByThreadId","0.199339","0","0","0.199339","ntdll.dll","NtWaitForAlertByThreadId","[Unknown]","0x1800a2f50"
"java::util::regex::Pattern::split","0.182684","0","0","0.16675","[Compiled Java code]","java::util::regex::Pattern::split(java::lang::CharSequence, int)","Pattern.java","0x1303d64d420"
"func@0x1800c9a26","0","0.136739","0","0.136739","KERNELBASE.dll","func@0x1800c9a26","[Unknown]","0x1800c9a26"
"jdk::internal::math::FloatingDecimal$ASCIIToBinaryBuffer::floatValue","0.250846","0","0","0.101563","[Compiled Java code]","jdk::internal::math::FloatingDecimal$ASCIIToBinaryBuffer::floatValue()","FloatingDecimal.java","0x1303d61e480"
"jdk::internal::math::FloatingDecimal::readJavaFormatString","0.0914722","0","0","0.0914722","[Compiled Java code]","jdk::internal::math::FloatingDecimal::readJavaFormatString(java::lang::String)","FloatingDecimal.java","0x1303d611680"
"jdk::internal::math::FDBigInteger::leftShift","0.0893969","0","0","0.0893969","[Compiled Java code]","jdk::internal::math::FDBigInteger::leftShift(int)","FDBigInteger.java","0x1303d60f480"
"NtWaitForSingleObject","0","0.0558693","0","0.0558693","ntdll.dll","NtWaitForSingleObject","[Unknown]","0x18009f3e0"
"org::start::MatrixMultiplication$M::writeMatrix","0.105834","0","0","0.0457199","[Compiled Java code]","org::start::MatrixMultiplication$M::writeMatrix(float[][], java::lang::String)","MatrixMultiplication.java","0x1303d6cbe80"
"jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::dtoa","0.0451502","0","0","0.0451502","[Compiled Java code]","jdk::internal::math::FloatingDecimal$BinaryToASCIIBuffer::dtoa(int, long, int, boolean)","FloatingDecimal.java","0x1303d6ba820"
